"text","text_en","cmp_code","eu_code"
"It is as if a glass ceiling has stopped us fulfilling our potential.",NA,NA,NA
"In the 21st century, we have the opportunity to break through that glass ceiling, because our historic strengths match the demands of the modern world.",NA,NA,NA
"We can use our openness and entrepreneurial flair to become a global centre in the knowledge economy.",NA,NA,NA
"We can use our sense of fair play and mutual responsibility to be a strong, dynamic, multiracial society held together by strong values.",NA,NA,NA
"We can use our historic and geographical position to link Europe and America, and help the developing world.",NA,NA,NA
"The key to tapping our strengths, to breaking through this glass ceiling, is contained in a simple but hard-to-achieve idea, set out at the heart of our party’s constitution: the determination to put power, wealth and opportunity in the hands of the many, not the few.",NA,NA,NA
"I know as well as anyone that we have just begun; millions of hard-working families want, need and deserve more.",NA,NA,NA
"That means more change in a second term, not less – to extend opportunity for all.",NA,NA,NA
"We reject the quiet life.",NA,NA,NA
"We must secure a mandate for change.",NA,NA,NA
"Ten goals for 2010:",NA,NA,NA
"• Long-term economic stability.",NA,NA,NA
"• Rising living standards for all.",NA,NA,NA
"•Expanded higher education as we raise standards in secondary schools.",NA,NA,NA
"• A healthier nation with fast treatment, free at the point of use.",NA,NA,NA
"•Full employment in every region.",NA,NA,NA
"• Opportunity for all children, security for all pensioners.",NA,NA,NA
"• A modern criminal justice system.",NA,NA,NA
"• Strong and accountable local government.",NA,NA,NA
"• British ideas leading a reformed and enlarged Europe.",NA,NA,NA
"• Global poverty and climate change tackled.",NA,NA,NA
"Shifting the odds for hard-working families.",NA,NA,NA
"In 1997 we promised a start, not a revolution.",NA,NA,NA
"We made five specific five-year pledges.",NA,NA,NA
"Three have been completed early; all will be completed within five years, as we promised.",NA,NA,NA
"Each pledge is matched by further achievement: the lowest inflation and unemployment for a generation; one million new jobs; over 17,000 extra nurses, the best primary school test results ever and, as the British Crime Survey shows, crime is down by ten per cent.",NA,NA,NA
"We also offered a ten-point contract to the British people.",NA,NA,NA
"The results are at the back of this manifesto.",NA,NA,NA
"Not everything has gone right – it never does.",NA,NA,NA
"But we are getting there, easing burdens and extending opportunities, by choice not chance.",NA,NA,NA
"Economic instability wrecks the lives of hard-working families.",NA,NA,NA
"So we chose to put the public finances right.",NA,NA,NA
"It meant tough decisions that were opposed by the Conservatives.",NA,NA,NA
"But today the economy is stable and growing, and interest rates are nearly half the level they averaged under the Conservatives.",NA,NA,NA
"Unemployment steals dignity.",NA,NA,NA
"So we chose to introduce a windfall tax on the excess profits of the privatised utilities and to use the money to help unemployed people back to work.",NA,NA,NA
"That was opposed by the Conservatives, who are now pledged to abolish the New Deal.",NA,NA,NA
"But today, youth unemployment is at its lowest level since 1975 and longterm unemployment at its lowest level since 1978.",NA,NA,NA
"Poor education is a cruel injustice.",NA,NA,NA
"So we chose to introduce a new system for teaching the basics in primary schools.",NA,NA,NA
"We met opposition, and the Conservatives want to roll back our programmes.",NA,NA,NA
"But today, primary schools are achieving their best results ever.",NA,NA,NA
"A run-down health service causes insecurity.",NA,NA,NA
"So we chose to reform the NHS, and inject new money.",NA,NA,NA
"Waiting lists and times are now down and falling, and the number of nurses and doctors is now rising.",NA,NA,NA
"Poverty denies basic rights.",NA,NA,NA
"So we chose to reform the welfare state to channel extra money to the poorest pensioners and poorest children.",NA,NA,NA
"Today, single pensioners can look forward to a minimum income of £100 a week and pensioner couples £154, and over one million children have been taken out of poverty.",NA,NA,NA
"The centralisation of power only helps the powerful.",NA,NA,NA
"So we chose to break the suffocating centralisation of British government.",NA,NA,NA
"The UK has been strengthened.",NA,NA,NA
"Today, it is the Conservatives who threaten the stability of the UK with their proposals for two classes of MP.",NA,NA,NA
"Our Scottish and Welsh manifestos, alongside this one, set out our vision for continued partnership.",NA,NA,NA
"Isolation from Europe does not help anyone.",NA,NA,NA
"So we chose to engage constructively in Europe, not to shout abuse from the sidelines.",NA,NA,NA
"Today, Europe is moving in a direction that is good for Britain and good for Europe.",NA,NA,NA
"In policy for aid, development and international debt relief, we have led the way.",NA,NA,NA
"Of course, there are still big problems, but we are better off, better educated, better governed, better respected abroad.",NA,NA,NA
"There has been another change too – a change of priorities and values.",NA,NA,NA
"We learnt in the 1980s that looking after number one was not enough; that without opportunity, responsibility was weak; that an unfair society was a less prosperous one.",NA,NA,NA
"The philosophy was wrong – it hurt millions of families and left our country with lasting problems.",NA,NA,NA
"We have shown we are a reformed party, competent to govern.",NA,NA,NA
"Now we offer more.",NA,NA,NA
"More change, and more rewards for Britain’s hard-working families: more prosperity, more opportunities, more security.",NA,NA,NA
"Ambitions for Britain.",NA,NA,NA
"Stretching the family budget, finding time for children as well as work, holding on to mutual respect, staying healthy when there can be danger even in the air we breathe.",NA,NA,NA
"These are daily worries that people face.",NA,NA,NA
"They are my concerns too.",NA,NA,NA
"But, while there is always a market for people who say we are doomed, that all new ideas are bad ideas even as things improve, that we might as well curl up with our prejudices and shut the door on the world, I am an optimist.",NA,NA,NA
"New Labour is ambitious for Britain’s future and is ready to lead.",NA,NA,NA
"First, we will sustain economic stability and build deeper prosperity that reaches every region of the country.",NA,NA,NA
"Skills, infrastructure, the technological revolution – all are vital to raise British living standards faster.",NA,NA,NA
"We will put as much energy into helping the seven million adults without basic skills as we did when tackling long-term unemployment through the New Deal.",NA,NA,NA
"Second, we seek to achieve a renaissance of status and quality for public services and their staff.",NA,NA,NA
"We will build on our success in primary schools to overhaul secondary schools;",NA,NA,NA
"we will invest new resources and empower doctors and nurses to transform health services;",NA,NA,NA
"and we will seek to extend the very best in culture and sport to all.",NA,NA,NA
"Third, we seek to modernise the welfare state.",NA,NA,NA
"The benefits system will be restructured around work; support for children and families through the tax and benefits system will be transformed; cash and services for pensioners will be radically improved.",NA,NA,NA
"Fourth, we will strengthen our communities.",NA,NA,NA
"We will reform the criminal justice system at every level so that criminals are caught, punished and rehabilitated.",NA,NA,NA
"And because we know that without tackling the causes of crime we will never tackle crime, we will empower local communities by combining resources with responsibility.",NA,NA,NA
"Fifth, we will turn our inner confidence to strength abroad, in Europe and beyond, to tackle global problems",NA,NA,NA
"– above all, environmental degradation and the shame of global poverty.",NA,NA,NA
"We will engage fully in Europe, help enlarge the European Union and make it more effective, and insist that the British people have the final say on any proposal to join the Euro.",NA,NA,NA
"These ambitions are summarised in ten goals for 2010.",NA,NA,NA
"They will never be achieved by government alone.",NA,NA,NA
"We know it is people who ultimately change the country.",NA,NA,NA
"Our partnership with the voluntary sector has steadily strengthened since 1997, as we learn from its diversity.",NA,NA,NA
"We work with the private sector, drawing on its vitality.",NA,NA,NA
"Countries only prosper on the basis of partnership – between government, employers and their employees, and the voluntary sector.",NA,NA,NA
"What Britain needs is an active, enabling state, not a nanny state, doing things with people not to them.",NA,NA,NA
"So, while the Conservatives will spend most of this election telling you what their government cannot do, this manifesto sets out what our government can do.",NA,NA,NA
"We know the power and value of markets, but we also know their limits.",NA,NA,NA
"Now is the time to renew our civic and social institutions to deliver improvements in education, health, safety, transport and the environment.",NA,NA,NA
"Fighting for values, not just for election victory.",NA,NA,NA
"The Conservatives always look back.",NA,NA,NA
"In economic policy they promise to repeat the mistakes of the 1980s – unaffordable tax cuts and spending cuts, followed by ballooning deficits, rising interest rates and the old cycle of boom and bust.",NA,NA,NA
"In social policy their renewed commitment to cuts and privatisation and to withdrawing the support helping to heal social division, is just a throwback to the 1980s.",NA,NA,NA
"In foreign policy they risk not just isolation but exit from the EU.",NA,NA,NA
"Jobs, trade, investment depend on our membership of the European Union.",NA,NA,NA
"The Conservative policy of opposing the enlargement of Europe in the Nice Treaty and their pledge to renegotiate the terms of Britain’s EU membership is dangerous and ill thought-out.",NA,NA,NA
"Standing up for Britain means fighting for Britain’s interests in Europe, not leaving Europe – which threatens our national interest.",NA,NA,NA
"So the choice Britain faces today is starker than in 1997.",NA,NA,NA
"The Conservatives have swung further to the right.",NA,NA,NA
"And, in government, Labour’s agenda has become increasingly bold and ambitious.",NA,NA,NA
"For many years, the Conservatives claimed to offer economic strength while Labour dominated social issues.",NA,NA,NA
"Many people found their head telling them to vote Tory, and their heart telling them to vote Labour.",NA,NA,NA
"Today, head and heart are coming together.",NA,NA,NA
"New Labour is proving that it is only by using the talents of all that we get a healthy economy, and that it is only by giving a stake to all that we are a healthy society.",NA,NA,NA
"We have made our choice: stability not boom and bust; investment not cuts; engagement not isolationism; the many, not the few.",NA,NA,NA
"A lot done and a lot more to do with new Labour – or a lot for you to lose under the Conservatives.",NA,NA,NA
"I deeply believe that, for Britain, the best is still to come.",NA,NA,NA
"So I ask you to continue on this journey with us.",NA,NA,NA
"Together we can achieve so much more.",NA,NA,NA
"Prime Minister and Leader of the Labour Party",NA,NA,NA
"Investment and reform.",NA,NA,NA
"Public services: investment and reform Renewal of our public services is at the centre of new Labour’s manifesto.",NA,"301",NA
"A single aim drives our policy programme: to liberate people’s potential, by spreading power, wealth and opportunity more widely, breaking down the barriers that hold people back.",NA,"301",NA
"But this is only possible on the continued foundation of economic stability: mortgages as low as possible, low inflation and sound public finances.",NA,"408",NA
"The manifesto is comprehensive.",NA,"000",NA
"Here we set out some of the key measures for investment and reform that we believe give us a historic opportunity to modernise our schools, NHS, criminal justice system and welfare state.",NA,"504",NA
"Renewing public services: substantial investment",NA,NA,NA
"New Labour believes that Britain needs investment in schools and hospitals, not reckless tax cuts.",NA,"504",NA
"Before 1997 we promised and kept to two tough years on spending to get the public finances in shape.",NA,"504",NA
"Now, consistent with meeting our fiscal rules, we promise substantial rises for key public services.",NA,"504",NA
"To help deliver our plans, our ten-year goal is the renewal of local government.",NA,"504",NA
"We will now:",NA,NA,NA
"- increase education spending by more than five per cent in real terms each year for the next three years as we increase the share of national income for education in the next Parliament.",NA,"506",NA
"- increase health spending by an average of six per cent in real terms each year for the next three years.",NA,"504",NA
"- increase spending on our police – an extra £1.6 billion a year by 2003/04.",NA,"605",NA
"- increase spending on transport by 20 per cent for the next three years, on our way to a £180 billion investment of public and private money for transport over the next ten years.",NA,"411",NA
"- use a £400 million reward fund for local government in return for signing up to clear targets to improve local services.",NA,"301",NA
"Renewing public services: more frontline staff",NA,NA,NA
"New Labour believes in renewing a public service ethic by giving frontline staff new freedoms to respond to public needs.",NA,"704",NA
"For public services to be renewed, we will need more staff, properly rewarded.",NA,"704",NA
"It is these frontline staff, operating in new ways, who will drive up standards in our key public services.",NA,"704",NA
"We will decentralise power to make that possible.",NA,"301",NA
"We will now deliver:",NA,NA,NA
"- 20,000 more nurses who will be given new enhanced roles and more power for matrons and ward sisters with control over budgets.",NA,"504",NA
"- 10,000 more doctors, and access to a £500 million Performance Fund to spend on new patient services.",NA,"504",NA
"- 10,000 more teachers.",NA,"506",NA
"- Invest in further rapid promotion and rewards for classroom excellence, more classroom assistants and help with housing costs in high-cost areas.",NA,"506",NA
"- 6,000 extra police recruits, raising police numbers to their highest ever level, with strong local leadership and proper rewards for those on the frontline.",NA,"605",NA
"Economic stability: the foundation",NA,NA,NA
"New Labour believes that a stable economy is the platform for rising living standards and opportunity for all.",NA,"408",NA
"Our ten-year goals are for long-term economic stability and faster productivity growth than our main competitors.",NA,"410",NA
"We will now:",NA,NA,NA
"- deliver economic stability with mortgages as low as possible, low inflation and sound public finances.",NA,"408",NA
"- reform further education, and help 750,000 adults achieve basic skills",NA,"506",NA
"- expand the Children’s Tax Credit to offer up to £1,000 per year for parents of newborn children.",NA,"402",NA
"- create a new Child Trust Fund for every child at birth.",NA,"504",NA
"- increase the minimum wage to £4.20.",NA,"408",NA
"- not raise the basic or top rate of income tax and extend the 10p band.",NA,"402",NA
"- strengthen regional economies with venture capital funds and new powers for reformed Regional Development Agencies.",NA,"301",NA
"- develop the Small Business Service and cut red tape.",NA,"403",NA
"- give British people the final say in any referendum on the single currency.",NA,"202",NA
"Renewing public services: education reform",NA,NA,NA
"New Labour believes that schools need a step change in reform to make quality education open to all.",NA,"506",NA
"We plan a radical improvement in secondary schools, building on our success in primary schools.",NA,"506",NA
"Our aim is to develop fully the talents of each child.",NA,"706",NA
"Our ten-year goal is 50 per cent of young adults entering higher education.",NA,"706",NA
"We will now:",NA,NA,NA
"- ensure every secondary school develops a distinctive mission including the expansion of specialist schools.",NA,"506",NA
"- diversify state schools with new City Academies and more church schools.",NA,"506",NA
"- direct more money to headteachers, more freedom for successful schools.",NA,"506",NA
"- reform provision for 11- to 14-year-olds to ensure higher standards in English, maths, science and information technology.",NA,"506",NA
"- introduce new vocational options from 14 onwards, with expanded apprenticeship opportunities",NA,"411",NA
"- ensure primary schools offer more chance to learn languages, music and sport, as well as higher standards in the basics.",NA,"506",NA
"- provide a good-quality nursery place for every three-year-old.",NA,"506",NA
"Renewing public services: NHS reform",NA,NA,NA
"New Labour believes that the NHS needs radical reform to fulfil its founding principle of quality treatment based on need, not ability to pay.",NA,"504",NA
"The NHS needs radical reform if it is to be designed around the needs of patients.",NA,"504",NA
"Investment is vital but not enough.",NA,"504",NA
"Labour’s ten-year goal is a maximum waiting time of three months as we become a healthier nation with fast, high-quality treatment, free at the point of use.",NA,"504",NA
"We will now:",NA,NA,NA
"- decentralise power to give local Primary Care Trusts control of 75 per cent of NHS funding, and cut by two thirds the number of health authorities.",NA,"504",NA
"- reform the appointments system so that by the end of 2005 every hospital appointment is booked for the convenience of the patient.",NA,"504",NA
"- cut maximum waiting times by the end of 2005 for outpatient appointments from six months to three months and inpatients, from 18 to six months.",NA,"504",NA
"- work with the private sector to use spare capacity, where it makes sense, for NHS patients.",NA,"504",NA
"- create a new type of hospital – specially built surgical units, managed by the NHS or the private sector – to guarantee shorter waiting times",NA,"504",NA
"- allow successful NHS hospitals to take over failing ones.",NA,NA,NA
"Renewing public services: welfare reform",NA,NA,NA
"New Labour believes that rights and responsibilities should be at the centre of reform of the welfare state– to lift children and pensioners out of poverty, and help parents balance work and family.",NA,"706",NA
"We will continue to reform the tax and benefit system to reward work, not irresponsibility.",NA,"402",NA
"Our ten-year goals are to achieve full employment in every region, to halve child poverty and tackle pensioner poverty.",NA,"706",NA
"We will now:",NA,NA,NA
"- create an integrated Child Credit of cash support for children, built on the foundation of universal child benefit.",NA,"706",NA
"- establish a new Pension Credit for lower- and middle-income pensioners.",NA,"706",NA
"- establish a new ‘Employment First’ interview for people entering the welfare system, and integrate the Benefits Agency and Employment Service through major reform.",NA,"504",NA
"- extend and increase paid maternity leave to £100 each week for six months.",NA,"504",NA
"- introduce paid paternity leave.",NA,"504",NA
"- expand childcare places to provide for 1.6 million children.",NA,"706",NA
"Renewing public services: criminal justice reform",NA,NA,NA
"New Labour believes that crime can only be cut by dealing with the causes of crime as well as being tough on criminals.",NA,"605",NA
"We plan the most comprehensive reform of the criminal justice system since the war – to catch, convict, punish and rehabilitate more of the 100,000 persistent offenders.",NA,"605",NA
"Our ten-year goal is a modernised criminal justice system with the burglary rate halved.",NA,"605",NA
"We will now:",NA,NA,NA
"- overhaul sentencing so that persistent offending results in more severe punishment.",NA,"605",NA
"- reform custodial sentences so that every offender gets punishment and rehabilitation designed to minimise reoffending.",NA,"605",NA
"- reform rules of evidence to simplify trials and bring the guilty to justice.",NA,"605",NA
"- introduce specialist, late-sitting and review courts to reflect crime patterns and properly monitor offenders.",NA,"605",NA
"- establish a new Criminal Assets Recovery Agency to seize assets of crime barons and a register of dealers to tackle drugs.",NA,"605",NA
"- introduce a victims bill of rights providing legal rights to compensation, support and information.",NA,"605",NA
"1. Prosperity for all",NA,NA,NA
"Our ten-year goals:",NA,NA,NA
"- Fiscal rules consistently met, low inflation and interest rates as low as possible, as we deliver long-term economic stability.",NA,"408",NA
"- Faster productivity growth than our main competitors, as we achieve rising living standards for all.",NA,"410",NA
"Our next steps:",NA,NA,NA
"- Basic skills for 750,000 people.",NA,"706",NA
"- Venture capital funds in every region.",NA,"408",NA
"- £180 billion investment in transport, with 25 local rail and tram schemes.",NA,"411",NA
"- Raise the minimum wage to £4.20.",NA,"408",NA
"- £1,000 tax cut – the Children’s Tax Credit – for parents of newborn Children.",NA,"402",NA
"Labour’s purpose is to help every family, not just a few, to raise their living standards and plan ahead with security.",NA,"408",NA
"We have a ten-year vision: higher living standards, affordable mortgages and fairer taxes combined with much greater investment in vital public services.",NA,"408",NA
"Economic stability is the foundation.",NA,"408",NA
"We know the price of boom and bust – it was paid in the 1980s and 1990s by millions of hard-working families.",NA,"408",NA
"Our reforms since 1997 have helped cut interest rates to nearly half the average under the Conservatives, saving mortgage payers on average £1,200 a year.",NA,"408",NA
"By 2010, we want Britain to break away from the decades of boom and bust, as we stick to clear rules for spending and borrowing.",NA,"414",NA
"We will take no risks with economic policy, make no compromise on fiscal responsibility.",NA,"414",NA
"Stability comes first.",NA,"414",NA
"But stability is not enough.",NA,"414",NA
"We need to produce more, better and to a higher value to raise our earning power and to meet our ten-year goal of faster productivity growth than our main competitors.",NA,"410",NA
"We must make Britain the best place to do business in Europe – a dynamic economy, founded on skills and knowledge, developing the talent of all our people, and contributing to sustainable development.",NA,"410",NA
"That means investment by private and public sectors in infrastructure and skills, and the right competitive framework to support enterprise, small and large, manufacturing and services.",NA,"403",NA
"Every extra trained, employed worker contributes to a fairer society, as well as a more prosperous one.",NA,"411",NA
"With social failure, from school drop-outs to crime, comes economic failure.",NA,"606",NA
"Fairness and enterprise go together.",NA,"606",NA
"It is up to government to do everything it can to help ensure that no individual and no community is left behind.",NA,"503",NA
"The fundamentals – Better off with Labour",NA,NA,NA
"The foundation of opportunity and prosperity is economic stability.",NA,"000",NA
"We know the risks of promises that cannot be paid for: the Conservatives led Britain into two deep recessions, double-digit inflation, record unemployment, 15 per cent interest rates and a doubling of the national debt.",NA,"305",NA
"Choice, not chance, has turned things round.",NA,"000",NA
"Independence for the Bank of England and longterm fiscal rules have given the UK the most stable and transparent economic framework in Europe.",NA,"414",NA
"Britain now has the best combination of low interest rates, low inflation and low unemployment since the 1960s.",NA,"408",NA
"We are saving nearly £9 billion this year from debt and unemployment, so 84p of every extra pound of public spending goes on national priorities, compared to 58p under the Conservatives.",NA,"305",NA
"So we will pursue a balanced approach on the economy with stability the foundation, more investment not less and, as affordable, targeted tax cuts on our priorities.",NA,"414",NA
"Our aim is to put more wealth in the hands of more people.",NA,"408",NA
"That is why we will keep mortgage rates as low as possible, ensure competition keeps down household bills, support savings and share ownership, and create a new Child Trust Fund for every child at birth to invest for when they reach adulthood.",NA,"408",NA
"There are no guarantees in an integrated world economy.",NA,"000",NA
"But we showed during the Asian economic crisis how to steer a course of stability in turbulent times.",NA,"305",NA
"We will continue to work at international level to minimise global economic turbulence, and to protect Britain if it occurs.",NA,"406",NA
"Tax and spending.",NA,NA,NA
"Fiscal responsibility and monetary stability are the foundation of our future plans.",NA,"408",NA
"New Labour’s inflation target is 2.5 per cent.",NA,"408",NA
"We will continue to meet our fiscal rules: over the economic cycle we will borrow only to invest, and keep net debt at a stable and prudent level.",NA,"414",NA
"We are pledged to raise health and education spending for the next three years at twice the rate of the Conservative years.",NA,"504",NA
"Labour will double net public investment.",NA,"504",NA
"And we are on track to save £1 billion in the costs of government purchasing by 2003.",NA,"303",NA
"Tax policy will be governed by the health of the public finances, the requirement for public investment, and the needs of families, business and the environment.",NA,"414",NA
"We have rewarded work through the new 10p starting rate of tax and the Working Families Tax Credit.",NA,"402",NA
"The basic rate of tax has been cut to 22p.",NA,"402",NA
"We will support families through the new Children’s Tax Credit, set at up to £1,000 a year for new parents – the first recognition of the costs of children in the tax system for 20 years.",NA,"402",NA
"On average, UK households have benefited by £590 a year from personal tax and benefit measures introduced since 1997.",NA,"402",NA
"During this Parliament, living standards have risen by ten per cent for a single earner family on average earnings.",NA,"408",NA
"To help those who work and save, we will extend the 10p tax band.",NA,"402",NA
"We will continue to tackle tax avoidance.",NA,"408",NA
"We will not raise the basic or top rates of income tax in the next Parliament.",NA,"402",NA
"We renew our pledge not to extend VAT to food, children’s clothes, books, newspapers and public transport fares.",NA,"402",NA
"Labour rewards work.",NA,NA,NA
"Labour believes that if you work hard you should be able to support a family.",NA,"000",NA
"We will guarantee a minimum family income of £225 for a 35-hour week;",NA,"408",NA
"in the next Parliament, an Employment Tax Credit will reward the work of people on low incomes, whether or not they have children (see ‘A modern welfare state’).",NA,"402",NA
"The first-ever National Minimum Wage for Britain, bitterly opposed at every stage by the Conservatives, has been a success in our first term.",NA,"305",NA
"It fulfils, after 100 years, a founding ambition of the Labour Party.",NA,"305",NA
"Up to 1.5 million people, the majority of them women, have been helped; jobs have not been lost.",NA,"706",NA
"The Low Pay Commission, which we will make permanent, has made clear recommendations for the future.",NA,"408",NA
"New Labour will raise the minimum wage to £4.10 this October, and is committed, subject to economic conditions, to raising it to £4. 0 in October 2002.",NA,"408",NA
"Labour rewards saving.",NA,NA,NA
"Nine million people invested in ISAs in their first year.",NA,"000",NA
"To encourage more saving, we will maintain the £7,000 contribution limit for the next Parliament.",NA,"414",NA
"We will help pensioners: the Pension Credit will match private saving with government funds, and pensioners will no longer be penalised because of their thrift (See ‘A modern welfare state’).",NA,"706",NA
"To boost the savings habit, we will create a new Savings Gateway for people on lower incomes where their savings will be matched by the government.",NA,"414",NA
"The productivity challenge – Staying better off",NA,NA,NA
"To raise living standards, our ambition is to raise our productivity faster than our competitors and to ensure our goods and services are competitive in world markets.",NA,"410",NA
"Labour has four priorities:",NA,NA,NA
"1. Investment in skills and innovation",NA,NA,NA
"Skills:",NA,NA,NA
"We are passionate about giving every child the chance of a decent education.",NA,"506",NA
"But we are equally determined to offer learning opportunities to adults.",NA,"411",NA
"Our ambition is for everyone to have the opportunity to train, in a partnership of employers, employees and government, each giving time and/or money to raise standards of skills in the UK.",NA,"411",NA
"Our first priority is to help the estimated seven million adults who lack basic literacy and numeracy skills, with 750,000 people achieving basic skill levels by 2004.",NA,"411",NA
"We will:",NA,NA,NA
"• ensure that job seekers get the benefit of a basic skills test, as well as incentives and obligations to take courses to tackle literacy and/or numeracy problems",NA,"411",NA
"• set up a network of 6,000 IT learning centres around the country.",NA,"411",NA
"• extend Individual Learning Accounts, which have already been opened by over a million people.",NA,"408",NA
"• dramatically improve the quality and quantity of prison education.",NA,"506",NA
"• tackle the financial barriers that prevent adults studying in further education.",NA,"506",NA
"Basic skills are the start; updating skills is relevant for all of us.",NA,"411",NA
"We have created the Learning and Skills Council for all post-school learning outside higher education.",NA,"506",NA
"Further education colleges have a critical role to play in the future.",NA,"506",NA
"We will encourage dedicated colleges for under-19s and specialist adult provision to meet local skills needs, with half of all colleges to be recognised as centres of vocational excellence by 2003- 04.",NA,"506",NA
"The world’s first University for Industry now offers over 400 skills courses.",NA,"411",NA
"For skill shortages in information technology, we will open two Technology Institutes in every region to meet the rising demand for high-level technical skills.",NA,"411",NA
"We need a step-change in workplace learning, particularly in small and medium-sized firms.",NA,"403",NA
"We are determined to develop a three-way partnership to bring this about.",NA,"405",NA
"Current arrangements have secured increased participation, but not enough.",NA,"405",NA
"Unions and employers have a key role – but we also need to motivate individual employees.",NA,"405",NA
"Where both sides of industry in a sector agree, we will help set up a statutory framework for training.",NA,"411",NA
"We will boost the efforts of trade unions to raise skill levels by giving statutory backing to union learning representatives and supporting the Union Learning Fund.",NA,"405",NA
"Government has a wide-ranging role to play and is seeking to develop a training tax credit.",NA,"402",NA
"We will look to business and unions to come forward with proposals on how they can contribute to meeting the nation’s training goals.",NA,"405",NA
"Everyone has a responsibility to help deliver a high-skill, high-productivity economy.",NA,"405",NA
"Innovation.",NA,NA,NA
"Science and technology are the basis of new products and industries, both vital to productivity growth.",NA,"000",NA
"Since 1997 extra investment of £1.5 billion over three years has given science a fresh start, and a new stream of university funding has helped create new links between scientific breakthroughs and new products.",NA,"411",NA
"But we need to invest more to be at the cutting edge of science – in biotechnology and genome research.",NA,"411",NA
"We propose an R&D tax credit to promote business investment in research.",NA,"402",NA
"We will work for a European patent system by the end of this year to simplify the process of bringing ideas to market.",NA,"108",NA
"The £235 billion a year, and growing, global market for green technology gives real opportunity to British industry to benefit from a shift to low carbon technologies.",NA,"501",NA
"We will continue to encourage the best scientists to work in the UK, as well as making the most of our science base in universities (see ‘Worldclass public services’).",NA,"411",NA
"2. Supporting British business.",NA,NA,NA
"Government cannot make a business successful.",NA,"000",NA
"But government must create the right framework to help business achieve healthy long-term growth.",NA,"000",NA
"Since 1997, corporation tax rates have been cut to their lowest levels ever.",NA,"402",NA
"Companies no longer face a perverse incentive to pay out dividends rather than invest for the future.",NA,"414",NA
"Reform of capital gains tax has given the entrepreneur or investor new incentives for investment.",NA,"402",NA
"We support vital investment through the tax system – with allowances for high tech as well as small business investment.",NA,"402",NA
"The Myners report has identified weaknesses in our venture capital market, undermining longterm investment and economic dynamism.",NA,"408",NA
"We will act on its recommendations, including the abolition of the minimum funding requirement and reforms to pension fund management, and review progress in two 408years.",NA,NA,NA
"When people have worked hard, they want their money to go as far as possible.",NA,"000",NA
"Competition policy has already helped cut cash-machine charges and new car prices.",NA,"000",NA
"We will extend our fair and robust competition regime by giving more independence to the competition authorities.",NA,"403",NA
"We will toughen the laws on rogue traders, unfair terms in contracts, and loan sharks.",NA,"605",NA
"In the labour market, minimum standards for people at work offer dignity and self-esteem.",NA,"701",NA
"Regulation should be introduced, where it is necessary, in a light-touch way.",NA,"701",NA
"We will cut back the red tape associated with regulation, examine opportunities to put time limits on regulations, deregulate by secondary legislation, and offer help to small firms.",NA,"403",NA
"Over 150,000 small businesses have been set up since 1997.",NA,"000",NA
"We will develop the Small Business Service as an advocate for small business in government and a servant of small businesses around the country.",NA,"403",NA
